City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
318,Yulara,AU,80.69,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
323,Kiunga,PG,79.43,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
328,Malindi,KE,75.96,overcast clouds,-3.2175,40.1191,African House Resort
331,Vanimo,PG,79.29,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
334,Kencong,ID,75.34,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
337,Lamu,KE,79.02,scattered clouds,-2.2717,40.902,Lamu House
339,Oum Hadjer,TD,75.29,overcast clouds,13.2954,19.6966,name
342,Manado,ID,74.17,few clouds,1.487,124.8455,Aryaduta Hotel
348,Axim,GH,78.1,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
357,Freetown,SL,77.76,scattered clouds,8.484,-13.2299,The Country Lodge Hotel
365,Varadero,CU,75.96,overcast clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
367,Alofi,NU,80.92,overcast clouds,-19.0595,-169.9187,Taloa Heights
369,Assare,BR,75.88,broken clouds,-6.8744,-39.875,José Xavier de Andrade
370,Alugan,PH,78.84,overcast clouds,12.2188,125.4808,JM Lodge
372,Cape Coast,GH,79.68,light rain,5.1053,-1.2466,Samrit Hotel
374,Bandarbeyla,SO,74.01,scattered clouds,9.4942,50.8122,JABIR HOTEL
379,Bethlehem,BR,77.04,broken clouds,-1.4558,-48.5044,Mercure Belém Boulevard
384,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
396,Tarrafal,CV,72.39,broken clouds,15.2833,-23.7667,Hotel Ixola
397,Gombong,ID,76.84,moderate rain,-7.6072,109.5142,Grafika Hotel Dan Restoran
398,Uruguaiana,BR,75.13,clear sky,-29.7547,-57.0883,Fares Turis Hotel
399,Itaituba,BR,75.58,scattered clouds,-4.2761,-55.9836,Hotel Campos
405,Padang,ID,76.1,overcast clouds,-0.9492,100.3543,Mercure Padang
410,Hobyo,SO,78.1,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
416,Fernandez,AR,76.57,clear sky,-27.9204,-63.8935,Cordoba Hunting
418,Cabedelo,BR,80.51,clear sky,-6.9811,-34.8339,Hotel Pigalle
425,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
429,Sinnamary,GF,76.59,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
436,Davila,PH,78.13,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
437,Thinadhoo,MV,81.45,broken clouds,0.5333,72.9333,name
447,Port Keats,AU,77.02,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
450,Tabou,CI,77.5,broken clouds,4.423,-7.3528,hotêl doufoulougou
453,La Asuncion,VE,76.59,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
454,Praya,CV,72.14,clear sky,14.9215,-23.5087,LT Aparthotel
458,San Cristobal,VE,72.21,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
459,Alta Gracia,AR,72.55,clear sky,-31.6529,-64.4283,Hotel Ritz
460,Amuntai,ID,73.67,overcast clouds,-2.4177,115.2494,Hotel Balqis
461,Basoko,CD,74.1,broken clouds,1.2391,23.616,Jackyna Hotel
465,Flinders,AU,72.81,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
466,Maxixe,MZ,75.04,clear sky,-23.8597,35.3472,Oceano
467,Beloha,MG,74.46,few clouds,-25.1667,45.05,name
477,San Carlos De Bariloche,AR,76.75,clear sky,-41.1456,-71.3082,Hotel Patagonia
478,Nioro,GM,78.21,scattered clouds,13.35,-15.75,name
479,Emerald,AU,78.35,clear sky,-23.5333,148.1667,The Irish Village
483,Gamba,GA,77.34,light rain,-2.65,10.0,name
485,Cabanas,CU,72.07,overcast clouds,22.9758,-82.9219,Villa Luis Montesino y Anabel
487,Kattivakkam,IN,79.07,clear sky,13.2167,80.3167,Euronova Freezer
488,Marica,BR,80.55,clear sky,-22.9194,-42.8186,Marica Hills
492,Camana,PE,72.84,few clouds,-16.6228,-72.7111,Hostal Morales
493,Mayumba,GA,77.58,light rain,-3.432,10.6554,LIKWALE LODGE
501,Carnot,CF,73.9,overcast clouds,4.9409,15.8665,name
503,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
505,Puerto Leguizamo,CO,79.48,light rain,-0.1934,-74.7819,la casona de juancho
509,Jega,NG,76.32,broken clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
511,Jensen Beach,US,72.07,scattered clouds,27.2545,-80.2298,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
518,Yambio,SS,81.59,overcast clouds,4.5721,28.3955,Naivasha Hotel
521,Gigmoto,PH,77.29,broken clouds,13.7796,124.39,Cj's Travellers Inn
528,Gogrial,SS,76.8,few clouds,8.5332,28.1004,name
530,Bundaberg,AU,80.22,few clouds,-24.85,152.35,Takalvan Motel
535,Kununurra,AU,75.18,thunderstorm,-15.7667,128.7333,Hotel Kununurra
537,Porto Belo,BR,78.78,moderate rain,-27.1578,-48.5531,Costa Verde Beach Hotel
538,Santiago,CL,78.85,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
544,Monte Alegre,BR,77.09,broken clouds,-2.0078,-54.0692,Hotel Shekinah
545,Alice Springs,AU,78.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
548,Alta Floresta,BR,72.01,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
549,Ilhabela,BR,75.11,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
551,Bindi,SL,75.65,few clouds,9.9167,-11.45,name
552,Auki,SB,76.98,overcast clouds,-8.7676,160.7034,Auki Motel
554,Matara,LK,72.97,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
561,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
567,Union City,US,81.21,clear sky,37.5958,-122.0192,"Holiday Inn Express Union City (San Jose), an IHG Hotel"
569,Illapel,CL,72.9,clear sky,-31.6308,-71.1653,Hotel Londres
571,Grand Gaube,MU,81.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
572,San Ramon,US,79.7,clear sky,37.7799,-121.978,San Ramon Marriott
575,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
576,Kalmunai,LK,76.26,overcast clouds,7.4167,81.8167,VS Villa
580,Qandala,SO,73.36,scattered clouds,11.472,49.8728,name
586,Owerri,NG,79.18,broken clouds,5.4833,7.0304,Donamario
587,Lai,TD,78.46,broken clouds,9.3952,16.2989,name
589,Puerto Narino,CO,76.95,moderate rain,-3.7703,-70.3831,Eware Refugio Amazonico
593,Ambulu,ID,75.34,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
594,Vaitape,PF,80.91,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
595,Nagua,DO,78.85,few clouds,19.3832,-69.8474,Hotel Cambri
596,Jurado,CO,78.33,light rain,7.1053,-77.7641,name
598,Benguela,AO,75.94,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
599,San Matias,BO,76.59,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
603,Leisure City,US,73.99,overcast clouds,25.4954,-80.4292,Hampton Inn & Suites Miami-South/Homestead
608,Bonthe,SL,78.06,broken clouds,7.5264,-12.505,Bonthe Holiday Village
610,Merauke,ID,81.19,broken clouds,-8.4667,140.3333,name
