City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Phalodi,IN,27.1333,72.3667,63.18,22,0,4.16,clear sky
172,Yakeshi,CN,49.2833,120.7333,-32.22,100,99,1.19,overcast clouds
173,Qaanaaq,GL,77.484,-69.3632,-9.56,80,93,6.17,overcast clouds
174,Polis,CY,35.0367,32.4264,49.82,72,84,4.45,broken clouds
175,Norsup,VU,-16.0667,167.3833,83.84,76,96,13.98,overcast clouds
176,Itarema,BR,-2.9248,-39.9167,79.57,79,10,14.05,clear sky
177,Seoul,KR,37.5683,126.9778,31.44,76,49,2.21,scattered clouds
178,Otjimbingwe,NA,-22.35,16.1333,73.44,76,100,7.54,light rain
179,Malinyi,TZ,-8.9333,36.1333,71.44,97,100,1.19,overcast clouds
180,Havelock,US,34.8791,-76.9013,45.05,86,100,1.01,overcast clouds
181,Semnan,IR,35.5729,53.3971,39.0,53,3,7.81,clear sky
182,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,73,40,8.99,scattered clouds
183,Homer,US,59.6425,-151.5483,35.8,84,0,5.75,clear sky
184,Kitui,KE,-1.367,38.0106,65.32,63,100,2.35,overcast clouds
185,Funtua,NG,11.5233,7.3081,68.27,15,4,10.36,clear sky
186,Ilulissat,GL,69.2167,-51.1,10.42,85,100,26.46,heavy shower snow
187,Saint-Martin-Boulogne,FR,50.7269,1.6186,53.85,78,100,33.64,overcast clouds
188,Tuktoyaktuk,CA,69.4541,-133.0374,-30.86,98,78,5.46,broken clouds
189,Bengkulu,ID,-3.8004,102.2655,75.29,88,100,3.27,overcast clouds
190,Puerto Escondido,MX,15.85,-97.0667,85.03,70,75,0.0,broken clouds
191,Ilinge,ZA,-31.9768,27.0427,64.22,93,79,5.53,light rain
192,Andros,GR,37.8333,24.9333,50.56,58,95,23.02,overcast clouds
193,Norman Wells,CA,65.282,-126.8329,-2.52,93,100,6.71,overcast clouds
194,Phalia,PK,32.4297,73.5775,52.81,65,91,4.03,overcast clouds
195,Korla,CN,41.7597,86.1469,27.57,49,0,3.62,clear sky
196,Northampton,US,40.8754,-75.2499,29.37,66,100,1.01,overcast clouds
197,Kangavar,IR,34.5043,47.9653,37.67,54,0,2.48,clear sky
198,Pevek,RU,69.7008,170.3133,-17.05,97,100,8.99,overcast clouds
199,Staryy Nadym,RU,65.6118,72.6842,-17.43,99,99,8.75,overcast clouds
200,Saint-Pierre,RE,-21.3393,55.4781,78.48,78,0,10.36,clear sky
201,Tari,NG,12.4086,4.4914,76.06,11,64,9.46,broken clouds
202,Santa Lucia,ES,27.9117,-15.5407,56.52,68,20,14.97,few clouds
203,Senno,RU,59.5336,33.9167,28.33,95,100,11.86,light snow
204,Jaisinghnagar,IN,23.7,81.3833,52.74,35,2,2.91,clear sky
205,Salalah,OM,17.0151,54.0924,70.36,34,0,18.14,clear sky
206,Asfi,MA,32.2994,-9.2372,56.91,85,25,10.92,scattered clouds
